Project Title,Project Slug,Summary,Full Description,Role(s),Live Site URL,GH Repo
TP Lists,Travelpass Lists,"An interactive feature that enables Travelpass users to transform travel ideas into shareable guides.","An interactive feature that enables Travelpass users to transform travel ideas into shareable guides. I developed the frontend experience to consolidate photo uploads, event management, and social sharing into a cohesive workflow.

### Features
Users can:
- Add a **cover photo** that displays in the list header
- Add any number of **events** with photos and notes
- Create **custom sections** to group events by theme
- **Drag and drop** to reorder sections or events
- Add **tags** to improve list discoverability
- **Like, share, and save** lists with other Travelpass users
- View metrics for **likes, shares, saves, and views**

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** GraphQL",Frontend Dev,https://travelpass.com/lists/01J8G9JTNFA2J0?name=Star-Wars-Filming-Locations,None
TP Dashboard,Travelpass Dashboard,"A personalized home base that consolidates profile management, content discovery, and bookings into a single interface.","A personalized home base that consolidates profile management, content discovery, and bookings into a single interface. I built the frontend to provide seamless access to all core user actions.

### Features
Users can:
- See **profile completion status** and fill out missing information
- View **suggested travelers** and follow/unfollow them
- Browse a live **Feed** of followed users and their updates to Lists
- View and manage their own **Lists** (create, edit, and update in one place)
- Access all **Saved content** (Hotels, Experiences, Lists, and List Events) in a unified view
- See and manage **upcoming and past bookings** directly in the dashboard

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** GraphQL",Frontend Dev,https://travelpass.com/dashboard,None
TP Profiles Refactor,Travelpass Profiles,"A personal space where Travelpass users manage their information, showcase their travel style, and connect with other travelers.","A personal space where Travelpass users manage their information, showcase their travel style, and connect with other travelers. I refactored the frontend to improve profile editing, follower management, and list visibility.

### Features
Users can:
- View and edit their **profile information** (if viewing their own page)
- **Share** their profile with others
- Manage **followers and following** lists
- View and edit **Travel Style tags**
- Track and update **Countries Visited**
- View and edit all their **Lists** in one place

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Data Layer:** GraphQL",Frontend Dev,https://travelpass.com/profile/matt,None
SW 1,Star Wars Archive 1,"A Star Wars reference tool that lets fans explore films, characters, planets, species, vehicles, and starships in a pokedex-style interface.","A Star Wars reference tool that lets fans explore films, characters, planets, species, vehicles, and starships in a pokedex-style interface. I built this as my first solo React project to practice component-based architecture and REST API integration.

### Features
Users can:
- Browse categories like **Films, Characters, Planets, Species, Vehicles, Starships**
- Click into entries to view metadata, descriptions, and related connections
- Explore relationships (e.g. which characters appear in which films)
- Share direct links to specific entries

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Deployment:** Vercel

### Notes
- This project served as a foundational learning exercise while teaching myself React.",Frontend Dev,https://sw-archive.vercel.app/,https://github.com/Matt-Hulme/sw-archive
SW 2,Star Wars Archive 2,"A Star Wars reference tool that lets users browse films, characters, planets, starships, and more through an interactive interface.","A Star Wars reference tool that lets users browse films, characters, planets, starships, and more through an interactive interface. I built this to practice TypeScript, modern React patterns, and GraphQL integration.

### Features
Users can:
- Browse categories like **Films, Characters, Planets, Species, Vehicles, Starships**
- Click into entries to view metadata, descriptions, and related connections
- Explore relationships (e.g. which characters appear in which films)
- Share direct links to specific entries

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite, Material UI
- **Data Layer:** GraphQL
- **Deployment:** Vercel

### Notes
- The GraphQL endpoint has lost support, so some detail queries return null fields.",Frontend Dev,https://starwars-archive.vercel.app/,https://github.com/Matt-Hulme/starwars-archive
React Scratch Map,Where Have You Traveled,"An interactive travel tracker that helps users visualize where they've been around the world.","An interactive travel tracker that helps users visualize where they've been around the world. The tool combines data visualization with persistence through account-based saving. I built this project to practice API integration, authentication, and state management with Firebase.

### Features
Users can:
- Click on countries to **mark them as visited**
- See live updates in the **visited countries panel** with counts and a personalized list
- **Save their selections** by creating an account with Firebase Auth
- Sync and load saved data through the **Firebase Realtime Database**
- Explore their travel history through an integrated **Google Maps API**

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Backend:** Firebase
- **Deployment:** Vercel

### Notes
- This project prioritized functionality over aesthetics as a deliberate learning focus on technical integration rather than visual design.",Frontend Dev,https://scratch-map-react.vercel.app/,https://github.com/Matt-Hulme/scratch-map-react
Brainstormer,Brainstormer,"An AI-powered ideation tool that helps users explore creative connections between concepts.","An AI-powered ideation tool that helps users explore creative connections between concepts. The system uses a large language model to generate either related ideas (OR mode) or overlapping connections (AND mode), supporting writers, entrepreneurs, and creatives during early brainstorming. Though my brother and I closed the project after early user testing, it served as an important full-stack and AI integration learning experience.

### Features
Users can:
- Enter one or more **concepts** to generate new, related ideas
- Switch between **OR mode** (connections to either concept) and **AND mode** (overlapping aspects of both)
- Explore generated lists of concepts and refine their brainstorming process
- Interact with a lightweight, responsive interface optimized for creative flow

### Tech Stack
- **Frontend:** TypeScript, React, TailwindCSS, Vite
- **Backend:** Python, FastAPI
- **AI:** OpenAI API
- **Deployment:** Docker, VPS

### Notes
- Early user testing provided valuable lessons on product-market fit, prompting a pivot away from the concept.
- The project sharpened AI integration skills and full-stack deployment experience despite not reaching production scale.",Fullstack Dev,None,https://github.com/Matt-Hulme/brainstormer
Deliberate Agentic Development,Deliberate Agentic Development,"An open-source framework that brings structure and accountability to AI-assisted software development.","An open-source framework that brings structure and accountability to AI-assisted software development. Instead of letting AI coding agents operate freely, it provides a deliberate methodology with checkpoints, reviews, and human-in-the-loop oversight. I built this framework to make AI pair programming more reliable, transparent, and maintainable while keeping developers in control.

### Features
The framework provides:
- A **Plan → Build → Ship** workflow for AI-assisted coding tasks
- Defined **checkpoints** where outputs must be reviewed before proceeding
- Clear **human oversight points** to reduce risk and improve quality
- Guidance for using AI tools such as **Claude Code, Cursor, and Codex**
- A repeatable methodology to improve trust, reproducibility, and maintainability

### Tech Stack
- **Format:** Markdown

### Notes
- This project is not a traditional codebase, but a set of instructions and best practices.
- It reflects an ongoing focus on AI developer tooling and how to align emerging agentic workflows with real-world software engineering standards.",Fullstack Dev; AI Engineer,None,https://github.com/Matt-Hulme/deliberate-agentic-development
Hotel Name Shortener,Hotel Name Shortener,"A Python + AWS Lambda service that automatically abbreviates hotel names to comply with Google and Bing Ads character limits.","A Python + AWS Lambda service that automatically abbreviates hotel names to comply with Google and Bing Ads character limits. I designed the system architecture, established coding standards, and managed a developer while contributing to core implementation. The tool preserves marketing value while ensuring policy compliance at scale.

### Features
The tool:
- Accepts **unformatted, long hotel names** as input
- Generates **abbreviated hotel names** within policy limits
- Applies **priority rules** defined by the SEM team to preserve key content
- Runs as an **automated Lambda function**, processing names at scale
- Stores and logs results in **Snowflake** for auditing and analysis
- Feeds standardized output into **Tableau dashboards** for monitoring and analysis

### Tech Stack
- **Language/Framework:** Python, LangChain, OpenAI API
- **Infrastructure:** AWS Lambda
- **Database:** Snowflake
- **Analytics & Visualization:** Tableau

### Notes
- Led the project while managing another developer and maintaining code quality standards.
- Significantly reduced manual editing time for the SEM team while guaranteeing ad policy compliance.",AI Engineer; Product Manager; Data Engineer; Marketer,None,None
Hotel Address Shortener,Hotel Address Shortener,"A Python + AWS Lambda service that automatically abbreviates hotel addresses to comply with Google and Bing Ads character limits.","A Python + AWS Lambda service that automatically abbreviates hotel addresses to comply with Google and Bing Ads character limits. I designed the system architecture, maintained coding standards, and contributed major portions of the implementation while managing another developer. The tool ensures concise, compliant addresses at scale while preserving key travel information.

### Features
The tool:
- Accepts **raw hotel addresses** as input
- Generates **shortened, standardized addresses** within ad limits
- Follows **SEM team rules** for prioritizing address elements (city, state, landmark, etc.)
- Runs as an **AWS Lambda** for seamless automation
- Writes results to **Snowflake** for reporting and QA
- Feeds standardized output into **Tableau dashboards** for monitoring and analysis

### Tech Stack
- **Language/Framework:** Python, LangChain, OpenAI API
- **Infrastructure:** AWS Lambda
- **Database:** Snowflake
- **Analytics & Visualization:** Tableau

### Notes
- Led the project while managing another developer and contributing heavily to architecture and core implementation.
- Reduced compliance issues in ads by standardizing addresses and helped scale SEM campaigns by automating manual QA.",AI Engineer; Product Manager; Data Engineer; Marketer,None,None
RSA Generator,RSA Generator,"A Python + AWS Lambda service that automates the creation of ad headlines for hotel campaigns.","A Python + AWS Lambda service that automates the creation of ad headlines for hotel campaigns. The tool takes hotel descriptions and amenities as input and generates marketable headlines that comply with Google Ads policies while staying accurate to the source content. I built this end-to-end to ensure factual accuracy through strict validation, preventing hallucinations - a key requirement for large-scale SEM automation.

### Features
The tool:
- Accepts **hotel descriptions and amenities** as input
- Extracts potential **marketable headlines** directly from the text
- Runs each headline through a **validation process** to ensure factual accuracy
- Guarantees **policy compliance** by filtering invalid or risky text
- Deploys as an **AWS Lambda** to integrate seamlessly with SEM workflows

### Tech Stack
- **Language/Framework:** Python, LangChain, OpenAI API
- **Infrastructure:** AWS Lambda
- **Database:** Snowflake",AI Engineer; Product Manager; Data Engineer; Marketer,None,None
Asset Frequency Report,Asset Frequency Report,"An AI-powered tool that analyzes the performance of ad assets at scale for Search Engine Marketing.","An AI-powered tool that analyzes the performance of ad assets at scale for Search Engine Marketing. The tool queries every headline and description across all Google Ads accounts, identifies which assets are winners or wasting space, and determines what should replace them. I built this to unlock brand-specific and device-specific ad copy optimization, enabling more precise campaign tailoring than ever before.

### Features
The tool:
1. **Queries** – Fetches performance metrics for every headline/description across all Google Ads accounts
2. **Categorizes** – Uses GPT-4o-mini to classify each asset into a predefined taxonomy
3. **Derives Efficiency** – Calculates efficiency for each asset, identifying winners vs. losers

What this enables:
- **Replace dead-weight assets** that are wasting space
- Create **brand-specific ad copy** (e.g., Motel 6 vs. Four Seasons)
- Optimize **device-specific ad copy**, tailoring for mobile vs. desktop

### Tech Stack
- **Backend:** Python, LangChain, OpenAI API
- **Infrastructure:** AWS Lambda, S3
- **Database:** Snowflake
- **Analytics:** Tableau

### Notes
- Identified hundreds of thousands (if not millions) of assets for replacement.
- Represents one of the most impactful SEM automation systems delivered to date.",AI Engineer; Product Manager; Data Engineer; Marketer,None,None
Slack -> Linear Workflow,Slack to Linear Workflow,"An automation that streamlines how coworkers submit project requests.","An automation that streamlines how coworkers submit project requests. Instead of manually formatting and logging details, teammates fill out a Slack form, which is then processed by an LLM. I built this workflow to categorize, format, and automatically enter requests into Linear as projects for review, saving time and ensuring consistency.

### Features
The tool:
- Accepts **project requests via a Slack form**
- Sends form data to an **LLM for categorization and formatting**
- Automatically creates a **Linear project** with the cleaned details
- Stores request logs in **Google Sheets** for tracking and transparency
- Runs fully automated through **n8n**

### Tech Stack
- **Automation:** n8n
- **Integrations:** Slack, Linear, Google Sheets
- **AI:** OpenAI API

### Notes
- Eliminates manual copy/paste of Slack requests into Linear.
- Ensures that projects are consistently formatted and categorized before review.
- Demonstrates the power of combining AI with workflow automation to reduce friction in everyday processes.",AI Engineer; Product Manager,None,None
This website!,Matt-Hulme.com,"A professional showcase that highlights work across frontend development, AI engineering, product management, and SEM automation.","A professional showcase that highlights work across frontend development, AI engineering, product management, and SEM automation. I built this site to help hiring managers, industry colleagues, and others quickly understand skills, experience, and impact through a curated set of projects. The experience is polished, responsive, and optimized for clarity: a project grid for browsing, filter-driven exploration, and modal-based detail views that let users dive deeper without losing context.

### Features
The site includes:
- **Filterable project grid** with technology and role tags
- **Project detail modals** with summaries, full descriptions, and media
- **Resume page** (`/resume`) with styled HTML and PDF download
- **Responsive design** across desktop, tablet, and mobile
- **Accessibility compliance** with keyboard navigation and WCAG AA standards

### Tech Stack
- **Frontend:** TypeScript, React, Vite, TailwindCSS
- **Backend:** Python, FastAPI, SQLAlchemy, SQLite
- **Testing:** Vitest, Playwright
- **Infrastructure:** Nginx, VPS

### Notes
- Designed for clarity and speed: fast-loading, responsive, and accessible.",Fullstack Dev; AI Engineer,Matt-Hulme.com,https://github.com/Matt-Hulme/portfolio-bmad
